,0
262,Lipids_POS_789.6745_390.5381_317.2125
263,Lipids_NEG_610.4079_243.1175_269.3509
264,Lipids_NEG_968.7534_441.8868_347.0654
265,Lipids_NEG_521.1370_268.9213_225.6923
266,Lipids_POS_1031.6912_300.9537_347.0401
267,Lipids_NEG_653.5356_371.5074_277.0964
268,Lipids_POS_803.6901_400.0061_322.4041
269,Lipids_NEG_832.5982_351.6763_310.6001
270,Lipids_POS_825.6802_381.2582_321.0993
271,Lipids_POS_893.6973_440.7226_334.5024
272,Lipids_POS_911.7793_427.0930_345.7057
273,Lipids_POS_738.5415_353.6484_289.6301
274,Lipids_NEG_928.5891_304.2314_335.6264
275,Lipids_POS_933.7864_461.3523_349.8517
276,Lipids_POS_545.4338_325.7652_260.0182
277,Lipids_POS_973.6496_282.5499_341.3193
278,Lipids_NEG_912.6319_363.2928_335.6551
279,Lipids_POS_852.6825_392.9192_329.0824
280,Lipids_NEG_299.0254_261.7477_227.6923
281,Lipids_POS_870.6933_401.0285_328.9343
282,Lipids_POS_776.5579_353.7043_296.3093
283,Lipids_POS_1963.7825_446.8903_625.0648
284,Lipids_NEG_568.4934_330.0059_262.6221
285,Lipids_NEG_481.3523_304.7979_240.5090
286,Lipids_POS_730.4889_242.3864_273.1962
287,Lipids_POS_1518.1261_344.0493_466.3543
288,Lipids_NEG_787.6078_419.5138_299.5620
289,Lipids_NEG_804.5150_344.8601_305.8300
290,Lipids_POS_977.7727_386.1771_352.9657
291,Lipids_POS_822.5630_303.9825_309.8947
292,Lipids_POS_640.5858_389.1019_281.2604
293,Lipids_NEG_911.6471_374.8656_339.5164
294,Lipids_NEG_792.5756_346.5509_307.0267
295,Lipids_NEG_671.0993_279.6284_256.1227
296,Lipids_NEG_1085.1797_414.8109_324.3234
297,Lipids_NEG_812.5441_321.3671_304.9674
298,Lipids_NEG_743.8919_342.5842_266.9798
299,Lipids_POS_834.2188_392.2393_278.3948
300,Lipids_NEG_714.5075_337.6445_277.4519
301,Lipids_POS_756.5535_284.9628_296.5332
302,Lipids_NEG_754.5748_383.2631_291.7517
303,Lipids_NEG_651.6029_459.3342_291.5403
304,Lipids_POS_624.4464_252.0377_259.2060
305,Lipids_POS_685.4341_374.0885_291.8780
306,Lipids_NEG_516.4187_310.8468_246.5954
307,Lipids_NEG_966.8471_453.8941_359.3228
308,Lipids_NEG_749.5715_396.8216_307.2737
309,Lipids_POS_369.5263_446.8745_210.4195
310,Lipids_POS_464.4455_295.6316_251.7128
311,Lipids_POS_649.5177_429.0722_275.7308
312,Lipids_POS_704.5949_396.8232_308.0607
313,Lipids_NEG_677.5358_363.0457_281.0068
314,Lipids_NEG_785.6538_400.1470_303.7972
315,Lipids_POS_610.3708_166.9444_256.0319
316,Lipids_POS_652.6586_418.2109_297.8498
317,Lipids_POS_624.4160_373.9591_277.7774
318,Lipids_NEG_725.1234_294.7097_260.3510
319,Lipids_NEG_878.6112_366.2160_330.2400
320,Lipids_POS_987.7945_411.8457_354.8001
321,Lipids_NEG_764.5798_358.5356_305.0542
322,Lipids_POS_906.7041_360.9263_335.2101
323,Lipids_NEG_920.5635_328.1697_331.4783
324,Lipids_NEG_775.1820_357.6415_274.6081
325,Lipids_NEG_722.6284_397.2769_301.9060
326,Lipids_POS_537.5345_354.0761_266.8099
327,Lipids_NEG_389.3414_301.0132_210.7681
328,Lipids_NEG_766.5390_330.1916_287.2979
329,Lipids_NEG_896.5620_318.9321_328.2783
330,Lipids_POS_756.8039_319.0163_294.0362
331,Lipids_POS_1606.2102_356.3551_494.5219
332,Lipids_POS_1626.2368_365.5009_500.6841
333,Lipids_NEG_808.6209_370.4215_302.0778
334,Lipids_NEG_675.5195_348.9319_279.2079
335,Lipids_NEG_608.3561_167.0099_254.3956
336,Lipids_POS_716.5212_337.5070_283.6600
337,Lipids_NEG_655.5599_384.9939_279.2526
338,Lipids_NEG_775.5966_366.2334_296.6245
339,Lipids_POS_1895.4098_333.2824_774.0698
340,Lipids_NEG_655.1212_291.4402_247.0469
341,Lipids_NEG_691.5145_302.9731_283.3237
342,Lipids_NEG_1151.7044_298.3970_364.2845
343,Lipids_POS_1570.1049_348.4460_484.4310
344,Lipids_NEG_1533.1131_338.6283_468.0026
345,Lipids_POS_909.7868_479.7246_345.8795
346,Lipids_NEG_692.6555_411.5873_297.8668
347,Lipids_POS_823.0153_451.3257_328.0022
348,Lipids_POS_628.6016_384.6027_285.1881
349,Lipids_NEG_825.6595_432.5763_330.0227
350,Lipids_NEG_509.3304_261.1571_232.7977
351,Lipids_NEG_676.4186_215.4915_271.9075
352,Lipids_NEG_303.2323_436.0837_189.7156
353,Lipids_POS_761.6428_372.3432_311.0755
354,Lipids_POS_1028.8181_459.5304_367.6458
355,Lipids_POS_1556.1600_342.0829_479.2139
356,Lipids_POS_1146.3241_436.6887_335.4985
357,Lipids_NEG_1368.1502_477.2093_365.2991
358,Lipids_POS_784.5845_304.1093_303.2007
359,Lipids_NEG_921.7671_480.0027_342.4373
360,Lipids_POS_1246.3733_511.5400_365.6302
361,Lipids_POS_857.7578_449.5218_334.1581
362,Lipids_POS_704.0724_330.5773_297.4430
363,Lipids_NEG_502.2931_175.4045_224.9066
364,Lipids_NEG_1576.2703_371.1584_485.2778
365,Lipids_POS_881.7555_466.2420_339.4432
366,Lipids_NEG_777.5747_298.9533_311.9021
367,Lipids_POS_623.5023_431.9776_272.1002
368,Lipids_POS_612.5549_375.4297_274.7833
369,Lipids_NEG_818.4874_290.3890_295.2807
370,Lipids_POS_847.9414_365.8680_330.7027
371,Lipids_NEG_782.6042_399.7777_300.1993
372,Lipids_POS_575.4444_300.3880_265.0377
373,Lipids_POS_836.5902_305.5305_315.6552
374,Lipids_NEG_1239.2778_454.9203_382.6539
375,Lipids_NEG_771.5174_303.8230_294.7669
376,Lipids_NEG_844.5614_347.7663_317.8324
377,Lipids_NEG_903.6804_388.0166_339.6602
378,Lipids_POS_1209.0329_513.3996_431.3696
379,Lipids_NEG_461.3623_305.3010_227.8990
380,Lipids_POS_984.2350_407.9552_303.7627
381,Lipids_POS_749.5429_271.6181_299.8528
382,Lipids_NEG_433.3314_220.4412_230.8741
383,Lipids_NEG_953.1220_388.1470_305.1000
384,Lipids_NEG_828.5895_369.8371_306.8074
385,Lipids_POS_864.6460_364.7446_323.2965
386,Lipids_POS_634.4070_196.9396_262.9381
387,Lipids_NEG_637.4312_290.2711_268.6282
388,Lipids_NEG_792.4926_287.5222_297.5081
389,Lipids_POS_691.5728_327.3440_297.9608
390,Lipids_NEG_803.1563_343.7035_281.3930
391,Lipids_NEG_917.7352_451.2628_339.8670
